Sector,State,Nationality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Higher Education,QLD,Mongolia,42,92,122,121,110,118,122,168,173,181,183,196,298,392,470,604,782,813,405
Higher Education,QLD,Myanmar,395,349,474,502,462,423,402,446,477,396,414,534,716,788,754,844,1033,1281,580
Higher Education,QLD,Nepal,334,313,395,464,585,835,2345,3896,4935,5647,5689,7772,13811,13532,14976,17079,21657,27493,14598
Higher Education,QLD,Netherlands,465,392,347,477,564,447,675,694,907,747,604,627,637,663,615,667,771,788,372
Higher Education,QLD,Nigeria,229,291,259,219,175,193,204,304,463,611,602,821,1358,2192,3951,4658,3847,3572,1454
Higher Education,QLD,Norway,17485,17387,14774,10727,7712,5365,4219,4565,5508,5726,5480,4774,3732,3537,3699,3567,3916,3844,1445
Higher Education,QLD,Oman,802,1485,1896,2245,1866,1621,1376,1364,1318,1113,871,1137,1406,1069,1106,1233,1254,1187,513
Higher Education,QLD,Pakistan,897,999,1277,1440,1435,1647,1901,2756,3567,3444,3531,4278,5822,6795,7866,8576,8169,7342,3083
Higher Education,QLD,Papua New Guinea,1782,1598,1295,1275,1098,1265,1486,1587,1887,2036,2469,3022,3360,3865,4336,4588,5100,5377,2500
Higher Education,QLD,Peru,128,176,275,450,749,1100,1332,1337,1246,1150,768,891,1136,1249,916,928,1089,1197,577
Higher Education,QLD,Philippines,895,1045,1079,970,988,1098,1317,1660,2009,2404,2605,2880,3750,4238,4582,4810,4774,6419,2756
Higher Education,QLD,Poland,168,284,291,257,201,186,188,215,239,308,294,287,267,209,270,299,451,455,202
Higher Education,QLD,Portugal,265,315,296,355,486,606,771,897,1049,964,972,851,784,811,720,807,922,886,373
Higher Education,QLD,Russian Federation,649,980,1032,953,699,581,666,960,1404,1567,1747,2018,2171,2164,2048,1856,1734,1309,543
Higher Education,QLD,Saudi Arabia,87,83,323,864,2100,3898,5461,8906,12645,13624,13659,12650,11795,10162,7233,5220,4687,5531,2527
Higher Education,QLD,Singapore,23901,23876,20690,17423,14539,12426,12060,13485,14626,15749,16092,15734,15301,14853,14397,14344,14113,14019,6149
Higher Education,QLD,Slovakia,57,73,92,101,94,46,64,83,70,46,61,139,127,92,136,161,163,75,47
Higher Education,QLD,Solomon Islands,261,245,261,242,226,239,247,283,286,210,227,256,246,276,297,424,575,652,262
Higher Education,QLD,South Africa,604,645,780,937,1090,992,987,1232,1458,1567,1213,1084,965,875,995,1107,1125,1455,718
Higher Education,QLD,Spain,210,245,333,330,449,479,380,310,369,453,526,494,523,593,587,609,749,708,312
Higher Education,QLD,Sri Lanka,1266,1390,1464,1588,2271,3040,3438,3869,3830,3490,3354,3243,3929,4677,5421,6554,7325,8621,4160
Higher Education,QLD,Sweden,6118,5537,4849,4178,4150,3591,2936,3046,2986,2832,2805,2389,2612,2613,2899,3009,2570,2408,894
Higher Education,QLD,Switzerland,436,505,507,591,580,674,617,574,710,740,681,695,753,620,544,714,766,696,266
Higher Education,QLD,Taiwan,15250,16695,18411,17506,17322,16665,15545,15562,15844,14768,12696,10031,9209,8181,7955,8260,9433,10775,4983
Higher Education,QLD,Tanzania,180,193,198,252,260,257,222,177,158,138,162,244,240,192,156,160,166,139,53
Higher Education,QLD,Thailand,6264,7835,8039,7480,7208,6226,5108,4823,5234,4557,3383,3393,3483,3608,3559,3872,3969,3839,1659
Higher Education,QLD,Turkey,259,290,299,232,267,348,412,443,636,696,722,668,489,446,422,487,434,423,188
Higher Education,QLD,Uganda,82,124,140,137,112,140,118,116,148,127,145,156,185,171,247,256,238,173,56
Higher Education,QLD,United Arab Emirates,369,576,965,1689,1961,2285,2599,2969,3425,2746,2065,1564,998,751,646,632,658,502,229
Higher Education,QLD,United Kingdom,2568,3440,4172,4497,4752,4497,4245,4063,4275,4163,3832,3568,3440,3156,3047,3222,3108,3163,1444
Higher Education,QLD,United States of America,7378,6101,6644,6699,6375,6530,6142,6172,7400,7826,8053,8713,9785,10434,11248,11758,11878,12692,5468
Higher Education,QLD,Venezuela,144,112,103,81,82,99,145,228,429,700,702,517,496,453,396,421,366,276,89
Higher Education,QLD,Vietnam,1670,2059,2769,3452,3540,3581,4867,7330,10629,12446,12836,13235,13945,14301,14306,14652,15510,15514,7089
Higher Education,QLD,Zambia,150,154,212,290,292,294,222,231,249,295,307,245,189,163,181,199,190,162,65
Higher Education,QLD,Zimbabwe,2100,2795,3381,4027,4646,4439,4807,4269,3657,2568,1641,1170,989,1271,1588,1897,2044,2020,932
Higher Education,SA,Argentina,93,99,97,83,56,35,30,47,68,68,108,80,72,59,104,109,163,251,112
Higher Education,SA,Bangladesh,149,398,689,849,850,860,778,895,976,947,1148,1299,1408,1474,1462,1408,1683,1781,979
Higher Education,SA,Brazil,102,187,159,151,138,110,169,191,221,190,225,177,219,232,371,728,1112,1622,1008
Higher Education,SA,Cambodia,3,37,55,56,95,77,152,175,217,286,316,330,314,442,504,461,473,569,401
Higher Education,SA,Canada,976,1133,1197,1213,1385,1524,1488,1402,1150,1180,1137,989,1019,981,977,858,849,789,444
Higher Education,SA,China,4597,8511,15017,25840,37090,44531,51693,62364,73856,79750,74345,67435,66161,72104,80205,88957,93795,96555,41986
Higher Education,SA,Colombia,75,120,117,113,112,185,181,246,411,564,665,483,465,512,635,694,870,976,622
Higher Education,SA,France,209,202,182,169,193,210,183,273,337,292,212,126,210,263,226,232,294,349,155
Higher Education,SA,Germany,352,490,543,582,640,764,677,640,517,539,574,472,405,336,308,287,290,439,239
Higher Education,SA,Hong Kong,3913,5225,6785,7372,7232,6995,5957,6028,6569,8133,9344,9952,11938,12021,12078,11986,12076,11691,5848
Higher Education,SA,India,1967,3126,7861,14163,18878,21262,20218,18592,14452,9906,7465,7868,10982,13893,18893,22140,31738,52208,30682
Higher Education,SA,Indonesia,2175,2579,2492,2296,2120,2059,2072,2826,3455,3241,3357,3643,3562,3385,2687,2752,2379,2311,1146
Higher Education,SA,Iran,176,297,515,540,580,769,992,1364,1410,1493,1638,1797,1736,1532,1218,1198,1316,1269,591
Higher Education,SA,Italy,87,73,56,80,80,91,130,130,160,186,285,238,277,314,303,259,292,415,224
Higher Education,SA,Japan,1897,2298,2471,2686,2659,2621,2323,2136,2005,1723,1465,1345,1346,1087,948,882,1046,1278,614
Higher Education,SA,Kenya,389,413,499,603,801,1009,1165,1103,1131,1300,1286,1440,1817,2709,3852,3920,4466,5505,2649
Higher Education,SA,"Korea, Republic of (South)",1225,2030,2638,3343,4025,4099,4400,4348,4166,4515,4647,4308,3949,3350,3001,2922,3218,3669,1823
Higher Education,SA,Kuwait,37,59,62,58,58,82,104,163,183,278,515,634,652,637,481,313,240,160,73
Higher Education,SA,Malaysia,15218,19435,21353,21105,20008,20196,20417,23332,24140,22829,20693,19777,18101,16949,16106,15191,13739,13176,5791
Higher Education,SA,Mauritius,184,175,142,107,145,200,230,292,228,231,228,213,147,173,164,119,151,177,108
Higher Education,SA,Mexico,47,84,121,118,130,134,94,87,206,303,322,240,241,202,261,263,245,208,103
Higher Education,SA,Myanmar,23,38,65,46,64,111,123,117,89,95,124,133,153,181,291,300,361,458,218
Higher Education,SA,Nepal,82,69,94,142,234,348,680,1177,1322,1741,2040,1585,1878,2570,3351,5447,8132,11200,6598
Higher Education,SA,Netherlands,45,71,87,71,106,76,178,202,140,153,127,82,55,99,163,160,166,193,60
Higher Education,SA,Nigeria,35,34,74,60,101,126,88,59,89,122,196,376,566,545,810,1234,1728,2062,946
Higher Education,SA,Pakistan,398,541,713,1170,1507,1885,2018,2066,2124,1849,1510,1473,1683,2132,2385,2755,3399,3604,1860
Higher Education,SA,Philippines,291,319,304,288,292,196,340,507,730,1381,1757,1717,2151,1649,1622,1780,1759,2485,1164
Higher Education,SA,Poland,47,48,126,123,118,149,92,58,85,118,140,128,161,210,209,161,106,112,71
Higher Education,SA,Russian Federation,148,156,134,72,103,157,194,244,271,174,171,199,280,263,136,146,186,212,89
Higher Education,SA,Saudi Arabia,46,140,203,292,392,589,826,1589,3540,4977,5404,5689,6306,6526,6512,5343,4498,4251,1767
Higher Education,SA,Singapore,5356,5949,6134,5776,5266,4900,5220,5123,5109,5001,5220,5373,5741,5757,5658,5776,6129,6062,2814
Higher Education,SA,South Africa,111,203,207,187,141,144,158,181,187,190,201,178,171,147,160,114,94,121,86
Higher Education,SA,Sri Lanka,570,722,858,764,1067,1449,1829,2178,2223,1910,1448,1296,1589,1798,1964,2015,2605,3731,2372
Higher Education,SA,Sweden,601,795,760,641,461,416,252,214,167,118,75,98,108,99,94,54,82,83,17
Higher Education,SA,Taiwan,1358,1751,1919,1795,1831,1921,1919,1851,1649,1441,1388,1232,1230,1303,1481,1598,1945,2415,1276
Higher Education,SA,Thailand,1747,2280,2186,2250,2220,1946,1827,1686,1521,1369,1166,993,995,873,844,726,591,517,274
Higher Education,SA,United Kingdom,940,1063,1200,1228,1160,1264,1350,1275,1118,1084,961,934,844,754,698,642,743,686,355
Higher Education,SA,United States of America,1620,1838,1757,1648,1596,1604,1222,1175,1269,1235,1071,957,808,810,852,788,828,804,325
Higher Education,SA,Venezuela,30,24,44,49,70,35,64,110,105,248,315,342,323,258,141,120,133,130,63
Higher Education,SA,Vietnam,830,1278,1598,1720,2019,2543,3709,5534,7145,7162,7223,7201,7520,7870,8439,9139,9482,10645,5507
Higher Education,SA,Zimbabwe,131,208,195,211,246,242,258,238,183,200,167,164,178,197,256,345,413,418,194
Higher Education,WA,Bangladesh,1456,1233,1276,1862,2038,1844,1488,1420,1280,1266,1417,1637,1971,2188,2209,2134,2153,2619,1359
Higher Education,WA,Belgium,243,212,259,325,464,477,496,514,435,394,254,292,186,154,121,174,107,91,29
Higher Education,WA,Bhutan,64,116,95,186,285,444,443,321,345,506,728,1024,1684,2237,2745,4072,6847,11570,6887
Higher Education,WA,Botswana,679,1292,1407,1063,954,810,605,515,371,304,270,255,212,140,183,129,203,231,105
Higher Education,WA,Brazil,199,221,208,272,371,432,619,745,963,1018,879,850,972,857,925,965,1064,1323,744
Higher Education,WA,Brunei Darussalam,2495,2600,2319,1932,1649,1395,1347,1234,1072,981,704,607,526,479,346,357,303,336,157
Higher Education,WA,Canada,687,1254,1703,2049,2202,1854,1799,1680,1653,1531,1270,1089,1087,937,799,745,706,732,426
Higher Education,WA,China,8761,13415,18795,23953,27609,29676,32984,41225,50983,53900,51414,46744,43766,43626,46768,51346,55942,58109,22983
Higher Education,WA,Colombia,85,222,252,270,278,256,365,561,669,927,928,881,640,589,682,839,909,995,609
Higher Education,WA,Denmark,128,135,118,118,82,51,111,134,159,135,122,91,68,48,81,118,113,51,19
Higher Education,WA,Egypt,74,95,81,113,83,41,66,65,86,143,123,93,115,153,129,155,188,237,126
Higher Education,WA,Finland,63,82,112,71,70,41,76,59,109,83,47,54,78,90,105,113,100,95,35
Higher Education,WA,France,414,401,392,488,622,1238,2439,3274,3553,3025,2270,1697,1288,1129,916,876,787,774,339
Higher Education,WA,Germany,558,726,989,1078,1040,1277,1484,1684,1700,1485,1380,1034,873,766,692,657,623,653,375
Higher Education,WA,Ghana,118,125,267,311,313,325,330,362,296,230,218,249,259,381,539,592,672,611,269
Higher Education,WA,Hong Kong,9703,12937,13513,13790,12530,10646,8341,7177,7004,7018,7099,7676,7910,7518,8263,8298,7901,7731,3726
Higher Education,WA,India,3345,3613,4857,6082,7149,9635,13611,17825,15953,11135,8713,10152,16163,22537,31554,34980,38602,52412,23843
Higher Education,WA,Indonesia,22604,22405,19834,17712,16192,13544,11639,12328,12906,12144,11379,10364,9476,8849,8090,7438,7064,7180,3216
Higher Education,WA,Iran,158,240,503,583,684,905,1158,1253,1890,2335,2218,2209,2128,2042,1784,1743,1646,1532,663
Higher Education,WA,Ireland,170,181,192,230,305,291,332,380,475,433,463,395,380,305,225,207,78,71,45
Higher Education,WA,Italy,190,244,263,199,249,281,338,471,518,565,515,450,557,653,647,837,674,638,341
Higher Education,WA,Japan,2329,2838,2830,2892,3062,2728,2241,1869,1597,1445,1093,1087,950,813,835,778,736,789,434
Higher Education,WA,Jordan,124,134,198,244,150,220,218,240,316,301,302,207,194,174,172,198,171,192,109
Higher Education,WA,Kenya,5446,7034,7115,6330,6319,6397,6673,6825,6406,6244,4947,4655,4635,5115,6463,8099,8561,7988,3216
Higher Education,WA,"Korea, Republic of (South)",1788,2104,2687,3179,3478,3471,3499,3580,3517,3955,3493,2914,2665,2246,1878,1613,1652,1852,958
Higher Education,WA,Macau,133,127,90,71,103,196,218,224,261,317,373,359,271,177,210,246,286,294,161
Higher Education,WA,Malawi,321,620,649,665,659,501,382,369,478,482,391,409,330,298,252,238,278,257,132
Higher Education,WA,Malaysia,27675,33122,34179,33273,32077,31395,31535,33459,33717,33535,30128,26905,23777,22465,21730,20325,19580,18794,8109
Higher Education,WA,Maldives,330,319,441,460,384,319,406,337,332,293,224,174,175,301,344,267,205,221,125
Higher Education,WA,Mauritius,2179,2918,3141,2930,2964,3200,3978,5241,5279,4624,3667,2855,2705,2420,2567,2405,2224,2720,1364
Higher Education,WA,Myanmar,696,775,666,653,569,691,1026,1350,1766,1602,1398,1191,1106,874,864,841,742,836,434
Higher Education,WA,Nepal,312,350,341,273,347,650,1123,1620,1730,1664,1609,2839,5059,5284,5487,6174,7210,9665,5510
Higher Education,WA,Netherlands,126,142,172,261,218,241,163,167,174,205,240,241,204,173,228,249,253,235,101
Higher Education,WA,Nigeria,115,104,115,182,266,331,262,299,359,349,363,614,855,1102,1526,1878,1819,1512,649
Higher Education,WA,Norway,4938,5854,5497,4601,3387,2466,1993,1942,1906,1777,1412,1291,813,659,598,521,391,400,121
Higher Education,WA,Oman,120,285,504,921,1111,1059,885,896,815,821,884,787,861,691,796,1279,1531,1943,848
Higher Education,WA,Pakistan,588,507,593,670,814,884,1234,1789,1893,1966,2091,2793,3652,5157,7077,8743,9252,11181,5545
Higher Education,WA,Philippines,303,240,296,366,369,433,505,673,1128,1413,1370,1613,2052,2073,2275,2149,2125,3569,2102
Higher Education,WA,Portugal,141,153,149,145,254,323,293,401,476,473,349,363,372,358,250,222,182,241,110
Higher Education,WA,Russian Federation,103,128,103,100,209,325,375,388,426,484,374,414,430,491,523,453,373,384,188
Higher Education,WA,Singapore,25888,25781,23683,22868,21528,19381,18260,19043,19988,20529,19451,17742,15493,13687,13537,13706,13565,13519,6375
Higher Education,WA,South Africa,369,539,447,490,616,696,807,1068,1170,1148,1074,1047,1005,927,878,911,874,1093,534
Higher Education,WA,Sri Lanka,1736,1782,1685,1643,2015,2623,3111,3239,2823,2453,2275,2383,3046,3602,3856,4112,4293,7253,4379
Higher Education,WA,Sweden,744,864,1074,1020,1312,1291,1268,1293,922,1131,1158,1082,916,836,660,728,616,531,231
Higher Education,WA,Switzerland,297,433,405,348,285,286,240,228,320,283,208,168,158,153,189,201,196,100,40
Higher Education,WA,Taiwan,1280,1545,1693,1719,1656,1549,1278,1043,1102,1201,1201,1097,959,849,838,936,1053,1098,518
Higher Education,WA,Tanzania,396,613,584,515,465,541,488,525,581,485,472,369,319,300,249,226,206,225,117
Higher Education,WA,Thailand,3282,3968,4295,3985,4027,3757,3075,2921,2595,2419,1902,1686,1533,1589,1502,1534,1388,1490,718
Higher Education,WA,Turkey,197,208,182,132,89,108,137,129,143,160,189,140,139,163,165,233,207,137,99
Higher Education,WA,Uganda,78,189,233,235,322,301,277,176,153,107,141,143,113,114,175,155,138,135,76
Higher Education,WA,United Kingdom,2000,2429,3176,3552,3635,3423,3292,3650,3836,3259,2624,2599,2521,2490,2378,2048,1673,1552,703
Higher Education,WA,United States of America,1247,1697,1871,1907,1935,2000,1979,1876,1948,1901,1734,1778,1537,1396,1285,1347,1435,1425,643
Higher Education,WA,Vietnam,695,869,1182,1624,1856,2075,2863,4482,6116,6807,6539,5740,6503,7500,8634,9135,8722,7738,3395
Higher Education,WA,Zambia,1411,3072,4538,5236,5184,5059,4564,4299,4108,3812,3165,2462,2103,1676,1603,1386,1330,1332,599
Higher Education,WA,Zimbabwe,2027,2681,3144,3615,4264,4369,4464,4837,4066,3238,2162,1767,1680,1684,2053,2599,2628,2671,1135
Higher Education,TAS,Canada,173,217,304,385,417,543,527,586,577,527,408,371,276,287,238,232,207,101,53
Higher Education,TAS,China,549,962,1739,4050,7318,9200,9386,10270,12334,12887,12581,11672,10475,10943,14495,22493,29578,32874,14816
Higher Education,TAS,Germany,89,88,170,87,131,188,226,226,212,272,288,293,253,193,189,209,188,202,110
Higher Education,TAS,Hong Kong,326,444,576,578,522,499,487,466,504,451,543,563,662,765,897,1190,1419,1806,1130
Higher Education,TAS,India,348,353,402,683,903,1307,1713,1686,1314,1017,799,1061,1531,3872,5070,5363,6145,9190,4887
Higher Education,TAS,Indonesia,167,163,228,269,325,187,237,213,144,124,166,143,121,185,170,202,298,586,397
Higher Education,TAS,Iran,21,45,83,84,102,94,111,171,270,349,404,458,493,525,588,696,704,683,273
Higher Education,TAS,Japan,410,578,670,734,838,720,767,745,702,626,416,339,283,252,219,224,188,174,98
Higher Education,TAS,"Korea, Republic of (South)",384,348,411,657,605,653,844,1044,1383,1731,1735,1491,1104,1176,879,730,698,718,272
Higher Education,TAS,Malaysia,6076,7369,8203,7771,7363,7056,7271,7646,8006,7923,7684,7558,6632,6214,6951,6914,6656,5587,1841
Higher Education,TAS,Nigeria,116,106,82,95,108,156,128,65,71,47,47,37,93,250,352,336,362,535,291
Higher Education,TAS,Pakistan,18,47,46,35,54,59,23,29,89,151,284,407,462,675,841,1095,1163,1205,629
Higher Education,TAS,Singapore,1440,1477,1456,1368,1435,1497,1795,1882,1988,2588,2922,3231,3063,3082,3273,2980,3023,2782,1096
Higher Education,TAS,Sri Lanka,122,156,131,141,94,102,71,35,23,46,67,89,115,235,418,744,1091,1393,740
Higher Education,TAS,Taiwan,223,273,270,307,321,384,358,393,262,204,135,146,141,112,296,521,661,932,465
Higher Education,TAS,Thailand,525,708,806,738,856,957,902,885,886,654,565,484,386,353,316,367,325,271,128
Higher Education,TAS,United Kingdom,169,167,233,318,343,351,364,278,221,161,257,223,191,215,190,214,219,275,176
Higher Education,TAS,United States of America,397,552,688,600,609,517,457,422,415,367,340,333,215,272,342,344,362,417,192
Higher Education,TAS,Vietnam,618,657,682,617,422,453,712,884,917,930,901,658,574,656,1098,1727,2544,3585,1889
Higher Education,NT,China,672,630,377,307,331,349,397,753,871,811,772,673,719,990,1346,1531,2090,2835,1692
Higher Education,NT,India,157,121,93,150,474,675,679,670,737,861,898,1001,1508,2206,2748,2917,3292,4011,2057
Higher Education,NT,Indonesia,194,172,171,111,142,148,378,376,436,415,370,465,380,424,448,433,388,472,244
Higher Education,NT,Malaysia,20,48,100,71,53,85,101,180,298,369,254,148,130,81,106,118,201,256,95
Higher Education,NT,Philippines,232,262,169,165,219,300,432,466,638,1061,1508,1901,1973,1980,1916,1597,1313,1070,400
Higher Education,ACT,Bangladesh,1344,1450,1404,1151,1068,949,774,934,1153,1436,1625,1734,1773,1549,1305,1325,1366,1361,677
Higher Education,ACT,Belgium,83,118,120,114,122,157,182,111,98,53,59,56,43,71,59,36,35,31,33
Higher Education,ACT,Bhutan,232,227,280,309,348,289,163,317,425,564,620,630,980,1479,1757,1799,2397,3012,1677
Higher Education,ACT,Brazil,65,71,104,101,104,77,76,81,100,118,139,205,136,167,137,209,240,267,120
Higher Education,ACT,Brunei Darussalam,233,196,193,112,125,90,80,79,66,47,11,30,46,46,66,72,87,84,41
Higher Education,ACT,Cambodia,240,271,204,151,112,91,136,153,160,159,165,269,526,679,353,377,462,504,232
Higher Education,ACT,Canada,590,587,507,469,462,426,462,552,674,628,468,400,348,288,310,400,331,257,86
Higher Education,ACT,China,3785,6638,9859,12684,14997,15099,16876,22488,31295,37751,39244,37883,40935,44403,55406,71992,88881,93204,35379
Higher Education,ACT,Colombia,70,121,154,153,125,94,70,47,61,75,156,242,233,229,220,201,204,285,127
Higher Education,ACT,Fiji,281,279,257,227,202,106,129,157,170,167,188,148,164,172,210,194,178,118,69
Higher Education,ACT,France,101,126,111,196,225,221,235,229,235,273,271,253,237,229,186,232,213,182,112
Higher Education,ACT,Germany,328,457,511,503,557,533,591,587,625,578,519,386,408,336,285,222,363,453,219
Higher Education,ACT,Hong Kong,1923,2827,2995,3040,2558,2294,1628,1634,1797,1695,1779,1678,1716,1831,2199,2525,2741,2642,1144
Higher Education,ACT,India,1794,3242,3706,3565,2929,3133,3521,4120,4237,3396,2928,3010,4074,6299,6792,7258,8651,9917,5022
Higher Education,ACT,Indonesia,724,867,920,904,989,1031,1223,1763,2255,2342,2461,2440,2160,2059,2545,3222,3434,3043,1294
Higher Education,ACT,Iran,145,227,268,285,247,214,252,348,526,613,668,839,892,786,840,780,721,807,385
Higher Education,ACT,Italy,96,104,93,84,109,154,142,171,200,202,236,244,277,261,274,248,164,186,112
Higher Education,ACT,Japan,1411,1622,1605,1588,1416,1381,1468,1387,1097,895,692,663,673,581,555,508,518,550,231
Higher Education,ACT,Jordan,90,59,50,53,41,41,52,60,69,92,79,72,71,94,95,101,87,86,35
Higher Education,ACT,Kenya,440,396,340,280,250,239,256,260,258,208,173,243,418,283,284,246,234,263,112
Higher Education,ACT,"Korea, Republic of (South)",816,948,1201,1418,1554,1924,2214,2841,2994,3344,4256,4587,4116,3739,2992,2282,2034,2212,1033
Higher Education,ACT,Malaysia,2460,3309,3290,3036,3298,3942,4595,5471,5996,6211,5632,4831,4297,3675,3310,3313,3395,3522,1424
Higher Education,ACT,Mexico,209,187,202,174,158,122,152,235,316,331,229,167,264,277,318,242,243,196,62
Higher Education,ACT,Myanmar,138,211,248,201,174,244,197,183,231,208,224,190,186,143,170,238,201,252,93
Higher Education,ACT,Nepal,69,99,113,110,59,56,157,212,268,336,396,390,670,974,874,888,978,1595,1786
Higher Education,ACT,Nigeria,58,66,46,19,44,103,90,79,153,205,240,428,738,912,922,716,488,431,196
Higher Education,ACT,Pakistan,1279,1339,1246,1112,1126,1423,1599,1899,2180,2369,2176,2248,2772,2891,2363,1914,1866,1568,650
Higher Education,ACT,Philippines,219,316,321,310,252,189,225,286,430,534,622,583,1051,2061,2236,1892,1398,900,540
Higher Education,ACT,Russian Federation,161,176,168,163,167,274,268,252,253,225,216,233,279,269,220,286,314,285,107
Higher Education,ACT,Singapore,3224,3717,3101,2757,2659,2821,3431,3753,3848,3798,3404,2925,2257,1854,1881,2077,2147,2173,811
Higher Education,ACT,Sri Lanka,285,316,394,444,491,671,772,835,842,1010,1088,1196,1275,1142,1233,1350,1548,1687,683
Higher Education,ACT,Taiwan,908,1029,1042,866,752,787,917,702,783,912,784,793,821,684,741,740,917,1035,504
Higher Education,ACT,Thailand,1922,2198,2313,2300,1940,1667,1486,1371,1220,1327,1382,1072,1259,1130,964,760,787,693,328
Higher Education,ACT,United Kingdom,453,486,466,405,386,438,471,529,620,614,599,579,458,465,458,455,463,331,179
Higher Education,ACT,United States of America,1001,954,1019,1068,1011,1035,1169,1095,992,1028,987,885,979,1103,1048,959,711,633,307
Higher Education,ACT,Vietnam,705,825,922,1181,1286,1276,1568,2530,3365,3691,3316,3089,3027,2888,2612,2418,2297,2262,1251
VET,NSW,Other,351,320,384,540,543,655,627,609,535,324,205,51,47,97,61,36,47,39,20
VET,NSW,Argentina,200,124,85,51,77,172,262,372,533,510,456,333,517,850,1065,2010,3108,3910,2124
VET,NSW,Austria,233,248,223,255,303,322,191,150,115,140,259,283,318,340,315,394,407,342,130
VET,NSW,Bangladesh,5633,7895,12185,16627,21147,29215,34168,36029,31790,21943,16474,10990,7046,5196,4355,3526,3603,4200,2541
VET,NSW,Belgium,516,671,847,560,460,567,539,467,554,531,476,438,507,576,617,865,1072,1049,485
VET,NSW,Brazil,7980,9002,10363,14315,21535,27541,31259,33978,32318,30312,27147,25596,25364,32930,50015,73542,99905,109737,43674
VET,NSW,Cambodia,366,281,217,216,99,164,224,182,190,211,385,466,535,749,787,913,872,931,389
VET,NSW,Canada,1586,1805,2127,2348,2730,2561,2259,2395,2448,2396,2504,2295,2418,2908,3425,3428,3481,3453,1426
VET,NSW,Chile,100,75,98,100,176,407,1019,1578,1750,1935,2068,1780,2025,2825,4462,7042,9280,10549,5003
VET,NSW,China,23969,34197,39086,38461,43757,60003,76701,90666,79082,61454,53578,45868,48191,50129,52662,57734,75772,78514,34504
VET,NSW,Colombia,4266,3051,1639,1356,2135,4749,8295,10390,10420,8322,6603,5656,5760,6995,11420,19831,28565,38341,19666
VET,NSW,Czech Republic,7723,10839,11162,10087,10190,9796,9083,8334,7537,5824,6206,5775,6654,8276,8136,7858,7751,6709,2238
VET,NSW,Denmark,197,176,443,534,279,289,233,237,272,248,276,288,273,347,508,491,584,431,140
VET,NSW,Ecuador,113,64,82,21,55,81,75,123,171,115,174,185,143,205,247,343,383,492,335
VET,NSW,Egypt,521,389,395,774,2166,5698,11684,16293,11017,6345,3897,2799,2010,1497,1011,567,355,383,163
VET,NSW,Fiji,2371,1605,1012,808,690,608,430,502,566,478,340,410,477,534,495,750,1246,2072,1303
VET,NSW,Finland,151,114,107,193,338,473,517,274,266,174,230,383,513,612,514,589,787,974,415
VET,NSW,France,1248,1232,1303,1261,1667,1901,1893,2503,3243,3874,4401,4701,5295,7772,9206,10018,10195,10623,4578
VET,NSW,Germany,1475,1852,2277,2120,2052,2174,2509,2613,2955,2938,2544,2601,3214,3408,4320,5468,5751,5859,2496
VET,NSW,Greece,113,90,69,76,66,80,92,56,82,192,645,1057,1598,2153,2344,2197,1647,1515,596
VET,NSW,Hong Kong,13902,15547,13454,9857,8439,7682,6848,6104,4901,5034,4711,4518,6585,8075,9386,9983,9967,7915,2672
VET,NSW,Hungary,1865,2604,2394,2767,3227,3284,3198,3237,3241,2674,2098,1758,1325,1266,889,711,675,645,185
VET,NSW,India,8347,4636,3627,7360,23561,64832,127305,172067,147098,96922,70512,45057,37774,45905,45402,41423,38884,66469,44124
VET,NSW,Indonesia,23333,19239,15891,13801,12609,16279,24325,35972,39580,38740,42845,43114,48724,60543,66855,63435,64199,70743,33101
VET,NSW,Iran,46,72,87,126,339,774,971,880,953,871,988,868,720,676,569,465,534,645,372
VET,NSW,Ireland,645,746,792,832,677,714,697,879,2343,4628,4927,5095,4839,5238,4092,3495,3844,4965,2700
VET,NSW,Israel,241,256,260,306,467,519,593,980,1158,866,593,190,166,263,241,296,575,667,210
VET,NSW,Italy,991,1229,1354,1211,1590,2089,2527,3278,4224,5394,6867,9659,13672,18409,21999,23637,21425,19901,8088
VET,NSW,Japan,14512,18068,19157,19636,19730,17770,15509,15430,14355,13057,13440,12543,12748,13860,15073,15993,16362,14945,5570
VET,NSW,Jordan,1760,1363,1087,966,1051,1005,1712,2354,2302,1788,1710,1806,1852,1737,1547,1426,1260,1072,465
VET,NSW,Kenya,557,542,571,646,863,757,843,1049,1118,851,806,949,1534,1930,2016,4329,6118,5308,1983
VET,NSW,"Korea, Republic of (South)",28700,21540,18136,21827,29187,36401,41411,51181,54541,49392,45356,47589,55907,65865,73536,79551,81392,80770,30609
VET,NSW,Laos,276,345,191,88,68,77,125,327,598,684,580,458,432,520,668,801,878,1186,572
VET,NSW,Latvia,366,333,218,121,81,134,189,158,172,247,256,170,212,207,248,167,148,156,62
VET,NSW,Lebanon,1883,1510,1394,1436,1695,2454,3641,4379,3991,3462,2672,1933,1810,1985,2235,1931,1676,1702,768
VET,NSW,Lithuania,51,53,29,28,69,175,355,355,558,1174,1186,1478,2357,3043,3391,4064,4209,4023,1484
VET,NSW,Macau,149,173,124,147,84,43,112,139,157,163,232,231,199,238,304,319,264,133,37
VET,NSW,Malaysia,3301,3948,3813,3779,4949,6659,7947,9551,7897,7326,8404,9132,11371,13740,19054,28811,37452,37954,15711
