Sector,State,Nationality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Higher Education,NSW,Maldives,299,248,241,238,178,173,200,266,245,207,172,185,272,250,236,212,283,283,139
Higher Education,NSW,Mauritius,679,754,942,1200,1303,1333,1344,1658,1867,1864,1625,1805,1749,1604,1584,1497,1450,1515,716
Higher Education,NSW,Mexico,737,1333,1691,1624,1457,1699,1777,1740,1862,2040,2332,2590,2549,2242,2219,2480,2382,2080,874
Higher Education,NSW,Mongolia,97,158,189,273,297,278,228,385,497,641,895,1074,1440,1907,3094,4239,4717,4806,1976
Higher Education,NSW,Morocco,30,44,86,100,101,104,66,47,44,42,37,46,88,58,101,129,165,150,65
Higher Education,NSW,Myanmar,1002,1196,1099,964,1065,1273,1710,2457,3153,3937,4021,3916,3747,3763,4240,4576,4788,5371,2636
Higher Education,NSW,Nepal,7911,6694,5175,4877,6899,19936,28170,28700,34966,51766,56996,52951,59152,71868,93436,136127,190666,234767,114096
Higher Education,NSW,Netherlands,471,531,747,1076,1352,1539,1233,1281,1370,1159,1051,1050,878,920,1001,931,870,784,381
Higher Education,NSW,Nigeria,241,235,222,229,328,451,489,693,918,899,1066,1575,2801,3873,5555,7255,8058,8213,3478
Higher Education,NSW,North Macedonia,90,78,34,47,76,121,127,170,248,210,181,159,186,244,239,259,385,410,201
Higher Education,NSW,Norway,11777,11845,10812,8205,6026,5122,4172,3878,3669,3592,3174,2813,2848,2794,2699,2415,2288,2031,822
Higher Education,NSW,Oman,136,188,224,276,353,320,266,296,552,574,782,1045,1109,1210,1363,1400,1227,1214,586
Higher Education,NSW,Pakistan,4632,4152,4147,4404,5206,6668,8005,8852,9812,11079,14209,21907,28033,36576,43021,47642,49285,49448,22526
Higher Education,NSW,Papua New Guinea,579,430,508,385,296,345,392,380,417,354,433,597,626,526,557,567,545,583,308
Higher Education,NSW,Peru,145,243,319,541,697,847,877,1071,943,907,930,1256,1409,1419,1374,1431,1561,1594,608
Higher Education,NSW,Philippines,1822,1793,2085,2487,3240,3513,4013,5210,6861,9375,10232,12010,14827,17509,19676,18825,18319,18850,8735
Higher Education,NSW,Poland,801,1475,1578,1361,1162,964,893,844,850,747,764,991,1074,1092,833,786,807,732,314
Higher Education,NSW,Portugal,791,930,979,869,985,944,982,1127,1241,1236,1218,1205,1082,1138,1183,1117,1028,1046,433
Higher Education,NSW,Romania,75,28,128,207,236,251,291,247,278,239,195,165,193,228,240,172,196,212,90
Higher Education,NSW,Russian Federation,2997,3334,3102,2975,2780,2715,2862,3762,4243,4056,4268,4437,5321,5010,4483,3851,3643,3192,1146
Higher Education,NSW,Saudi Arabia,105,261,393,814,1600,2819,5692,11832,18810,20968,16521,14315,12861,12149,12014,11321,11598,13636,6619
Higher Education,NSW,Singapore,21613,21232,19397,17964,16325,15363,14657,15756,15783,14955,14476,14502,13431,12977,13659,14751,15316,15031,7145
Higher Education,NSW,Slovakia,699,827,842,886,830,619,517,521,452,408,431,546,834,1094,1069,983,741,668,211
Higher Education,NSW,Solomon Islands,135,162,193,265,283,178,123,80,182,174,187,191,142,81,132,215,266,221,98
Higher Education,NSW,South Africa,880,876,842,769,851,959,869,900,1120,1141,1041,990,804,821,833,1033,1300,1479,747
Higher Education,NSW,Spain,360,470,423,468,516,521,494,564,717,687,881,1017,1183,1107,1079,1364,1439,1395,631
Higher Education,NSW,Sri Lanka,4121,4189,4544,4846,5080,5809,6080,6353,6346,5919,5745,5719,6412,7182,7855,9096,10436,11981,5712
Higher Education,NSW,Sweden,4398,4333,4314,4253,4046,3529,3450,3291,3571,3294,2536,2454,2561,2540,2357,2589,2481,2240,1035
Higher Education,NSW,Switzerland,650,887,1119,1224,1119,1130,928,971,1055,944,764,748,637,643,753,869,724,660,333
Higher Education,NSW,Taiwan,12886,13376,12854,12363,12463,12193,11003,10549,10174,9265,8062,7009,6689,6858,6877,7504,7680,9048,4539
Higher Education,NSW,Tanzania,225,179,204,209,208,255,286,386,325,285,247,227,225,276,298,311,326,329,168
Higher Education,NSW,Thailand,19942,22867,24663,22900,21282,20093,17532,16645,16852,14814,14356,14526,11874,10928,10118,10017,9721,9084,3769
Higher Education,NSW,Tonga,284,296,169,185,184,184,155,141,95,83,82,59,22,30,46,51,92,131,68
Higher Education,NSW,Turkey,1032,1343,1672,1746,1490,1414,1670,2134,2495,2666,2417,2173,2045,1851,1913,2093,2078,1950,779
Higher Education,NSW,Uganda,114,115,162,214,261,190,201,219,188,173,169,210,287,386,407,461,543,563,264
Higher Education,NSW,Ukraine,255,268,169,173,189,209,271,373,291,202,212,401,589,748,847,756,654,572,234
Higher Education,NSW,United Arab Emirates,55,65,64,170,308,344,378,440,632,665,760,670,605,411,334,296,430,641,308
Higher Education,NSW,United Kingdom,6576,8145,8580,8901,8666,8697,8531,8491,8633,7477,6049,5112,5199,5052,5000,4846,4676,4667,2240
Higher Education,NSW,United States of America,6943,8670,9264,10586,10567,10318,9959,10183,10272,9888,9169,8508,7325,6884,7989,9132,9653,10130,4887
Higher Education,NSW,Uzbekistan,126,176,267,320,177,213,255,341,283,242,229,169,243,381,500,727,872,1070,430
Higher Education,NSW,Venezuela,342,404,593,447,304,310,338,396,565,742,814,719,630,585,549,676,643,582,175
Higher Education,NSW,Vietnam,6410,7357,7624,8459,9553,11860,16411,23818,31697,36577,39029,39976,42402,43341,46693,53223,57512,59129,26244
Higher Education,NSW,Zambia,104,126,124,140,154,179,151,265,217,279,277,234,235,254,277,309,308,235,102
Higher Education,NSW,Zimbabwe,836,1097,1105,1153,1240,1460,1460,1527,1186,1054,865,797,904,1214,1630,1882,1952,2043,927
Higher Education,VIC,Argentina,191,314,340,224,134,200,150,140,180,182,230,273,360,375,416,342,436,583,263
Higher Education,VIC,Austria,135,161,197,233,197,146,171,159,150,171,204,213,256,306,285,318,300,306,107
Higher Education,VIC,Bahrain,94,209,309,482,626,650,626,548,496,508,403,267,217,199,169,142,149,129,40
Higher Education,VIC,Bangladesh,4316,6357,8400,9346,8199,6569,5385,4736,5496,6411,7528,8501,9680,10726,12321,13256,14541,15217,6704
Higher Education,VIC,Belgium,977,914,1089,1181,1548,1912,2071,2130,1855,1679,1352,1193,804,704,523,441,459,415,227
Higher Education,VIC,Bhutan,68,118,235,255,196,217,217,223,317,298,255,280,357,497,595,557,590,908,623
Higher Education,VIC,Botswana,2342,2137,2680,2757,2228,1990,1883,1741,1351,1024,904,707,547,404,269,202,222,289,184
Higher Education,VIC,Brazil,458,623,706,543,621,681,837,1055,1147,1252,1125,1336,1575,1814,2235,2967,3639,3773,1850
Higher Education,VIC,Brunei Darussalam,760,862,991,1124,1103,1386,1465,1399,1234,1208,1095,1018,1038,1143,1405,1434,1334,1236,518
Higher Education,VIC,Cambodia,616,715,679,597,654,877,949,1224,1435,1592,1545,1651,1965,2577,3650,4780,6513,8704,4676
Higher Education,VIC,Canada,2175,2875,3752,4213,4693,4712,4531,4891,4472,4243,4352,4292,4768,5034,5389,5557,5664,5590,2756
Higher Education,VIC,Chile,75,115,153,227,261,311,369,694,1177,1416,1587,2001,2064,2187,2112,1979,1924,1809,894
Higher Education,VIC,China,43347,71964,105407,141283,157576,164536,180835,219085,260056,289912,281091,271845,291642,332549,402795,473022,539489,569379,236009
Higher Education,VIC,Colombia,1388,2094,2155,1614,1735,2180,2428,3070,4296,4975,5130,5225,5897,6434,6594,6579,6859,7062,3204
Higher Education,VIC,Czech Republic,100,76,113,123,106,74,49,38,79,106,106,136,112,169,215,205,150,139,73
Higher Education,VIC,Denmark,362,511,405,374,330,298,226,395,385,353,264,295,317,348,454,496,517,538,189
Higher Education,VIC,East Timor,80,124,171,163,118,83,75,103,82,88,119,106,143,185,153,189,234,172,93
Higher Education,VIC,Ecuador,30,38,72,77,41,24,58,50,146,182,215,1228,2999,3147,1742,1055,820,694,267
Higher Education,VIC,Egypt,185,228,207,227,286,284,284,275,357,423,485,482,496,616,653,772,980,1075,581
Higher Education,VIC,Ethiopia,92,87,116,113,125,140,192,201,223,242,287,264,369,522,645,679,644,468,216
Higher Education,VIC,Fiji,793,769,664,656,610,570,526,664,485,470,507,352,388,497,514,678,705,750,326
Higher Education,VIC,Finland,95,190,174,211,255,195,220,248,323,337,289,258,231,191,237,287,246,261,120
Higher Education,VIC,France,890,1020,1065,997,1273,1697,1755,1873,2303,2762,2618,2464,2380,2641,2937,3195,3269,2876,1196
Higher Education,VIC,Germany,1653,2227,3226,3836,3667,3729,3777,4355,4841,4407,3358,2866,2854,2888,3101,3644,3751,3200,1435
Higher Education,VIC,Ghana,105,109,126,161,129,140,177,124,140,117,135,225,318,498,701,830,1066,1193,490
Higher Education,VIC,Greece,125,149,126,108,141,177,120,162,140,129,287,420,515,566,423,401,419,370,171
Higher Education,VIC,Hong Kong,34949,42362,44601,40835,33015,25836,20956,19048,19100,19980,20088,20359,21383,22103,22566,23787,23641,22754,10094
Higher Education,VIC,Hungary,152,204,130,108,85,76,76,80,63,71,122,240,351,338,262,341,242,198,74
Higher Education,VIC,India,41278,58498,80765,98638,110668,122884,126092,122826,102162,66137,51118,65118,105157,146608,185273,240700,324643,429612,191982
Higher Education,VIC,Indonesia,55746,56542,53461,49126,45390,41940,39688,39775,40441,42653,41791,39608,37992,38989,41284,44998,48706,52351,24112
Higher Education,VIC,Iran,292,537,878,1283,1947,2836,3853,4916,5935,6874,7913,8151,8555,8443,8025,7938,8273,8442,3808
Higher Education,VIC,Ireland,213,140,298,394,449,368,326,403,345,453,432,433,384,330,301,217,323,406,206
Higher Education,VIC,Israel,763,1098,1016,921,923,726,823,770,581,553,458,356,352,324,429,458,469,321,132
Higher Education,VIC,Italy,423,457,401,421,613,694,798,868,1039,1314,1540,1554,1809,2299,2968,2992,2810,2532,1098
Higher Education,VIC,Japan,6261,6854,7243,8537,8377,8100,6837,5974,5335,4910,4394,3920,3516,3534,3751,3971,3893,4133,2000
Higher Education,VIC,Jordan,193,379,410,359,322,445,414,375,332,326,314,386,415,387,651,786,733,745,335
Higher Education,VIC,Kenya,1366,1738,1920,2055,2272,2552,2798,2765,2738,2744,2419,2330,2552,2929,3376,4204,5470,6833,3347
Higher Education,VIC,"Korea, Republic of (South)",7932,9667,10234,10365,10383,12161,13454,14445,14933,16214,14909,13250,11397,10662,10183,9805,10016,10292,4802
Higher Education,VIC,Kuwait,123,189,154,191,252,204,163,200,252,825,1853,2906,3642,4437,3689,3415,2696,2186,859
Higher Education,VIC,Laos,310,298,276,198,203,263,296,276,290,332,354,302,306,325,347,411,552,568,203
